Club,Postcode,Entry Round,Location Status
North Shields FC,NE29 0SS,Extra Preliminary Round,verified
Northallerton Town FC,DL7 8HP,Extra Preliminary Round,verified
Northampton On Chenecks FC,NN1 5RT,Extra Preliminary Round,verified
Northampton Sileby Rangers FC,NN3 6FR,Extra Preliminary Round,verified
Northwich Victoria FC,WA7 6GJ,Extra Preliminary Round,verified
Northwood FC,HA6 1HR,Extra Preliminary Round,verified
Nuneaton Town FC,CV12 8NN,Extra Preliminary Round,verified
Ossett United FC,WF5 9HA,Extra Preliminary Round,verified
Oxford City FC,OX3 0NQ,Second Round Qualifying,supporting-evidence
Padiham FC,BB12 8LE,Extra Preliminary Round,verified
Pagham FC,PO21 3JY,Extra Preliminary Round,verified
Parkgate FC,S62 6LA,Extra Preliminary Round,verified
Paulton Rovers FC,BS39 7RF,Extra Preliminary Round,verified
Peacehaven & Telscombe FC,BN10 8RJ,Extra Preliminary Round,verified
Penistone Church FC,S36 6AT,Extra Preliminary Round,verified
Penn & Tylers Green FC,HP10 8LG,Extra Preliminary Round,verified
Penrith AFC,CA11 8UA,Extra Preliminary Round,verified
Pershore Town 88 FC,WR10 1QU,Extra Preliminary Round,verified
Peterborough Sports FC,PE1 3HA,First Round Qualifying,supporting-evidence
Petersfield Town FC,GU31 4BW,Extra Preliminary Round,verified
Phoenix Sports FC,DA7 6JT,Extra Preliminary Round,verified
Pickering Town FC,YO18 7DB,Extra Preliminary Round,verified
Plymouth Parkway FC,PL5 3JG,First Round Qualifying,supporting-evidence
Pontefract Collieries FC,WF8 4QF,Preliminary Round,verified
Poole Town FC,BH15 3JR,First Round Qualifying,verified
Portishead Town FC,BS20 6QG,Extra Preliminary Round,verified
Portland United FC,DT5 1DP,Extra Preliminary Round,verified
Potters Bar Town FC,EN6 1QB,Preliminary Round,verified
Potton United FC,SG19 2LU,Extra Preliminary Round,verified
Prescot Cables FC,L34 6HD,Preliminary Round,verified
Prestwich Heys AFC,M45 6NT,Extra Preliminary Round,verified
Punjab United FC,DA12 5ND,Extra Preliminary Round,verified
Quorn FC,LE12 8RB,First Round Qualifying,supporting-evidence
Racing Club Warwick FC,CV34 6JP,First Round Qualifying,supporting-evidence
Radcliffe FC,M26 3PE,Second Round Qualifying,supporting-evidence
Ramsbottom United FC,BL0 0BS,Extra Preliminary Round,verified
Ramsgate FC,CT11 0AN,First Round Qualifying,supporting-evidence
Rayners Lane FC,HA2 0XH,Extra Preliminary Round,verified
Raynes Park Vale FC,SW20 9DZ,Extra Preliminary Round,verified
Reading City FC,RG30 6AY,Extra Preliminary Round,verified
Real Bedford FC,MK44 3SB,First Round Qualifying,supporting-evidence
Redbridge FC,IG6 1NB,Preliminary Round,verified
Redcar Athletic FC,TS10 3RW,First Round Qualifying,supporting-evidence
Redcar Town FC,TS10 5BW,Extra Preliminary Round,verified
Redditch United FC,B97 4RN,First Round Qualifying,supporting-evidence
Redhill FC,RH1 5AE,Extra Preliminary Round,verified
Retford FC,DN22 7NJ,Extra Preliminary Round,verified
Retford United FC,DN22 0DR,Extra Preliminary Round,verified
Risborough Rangers FC,HP27 9NE,Extra Preliminary Round,verified
Roffey FC,RH12 5JL,Extra Preliminary Round,verified
Roman Glass St George FC,BS32 4AG,Extra Preliminary Round,verified
Romford FC,RM8 2JR,Extra Preliminary Round,verified
Romulus FC,B72 1NL,Extra Preliminary Round,verified
Rossington Main FC,DN11 0TE,Extra Preliminary Round,verified
Royal Wootton Bassett Town FC,SN4 8DS,Extra Preliminary Round,verified
Royston Town FC,SG8 7HP,Preliminary Round,verified
Rugby Borough FC,CV21 4PN,Extra Preliminary Round,verified
Rugby Town FC,CV21 3SD,Extra Preliminary Round,verified
Runcorn Linnets FC,WA7 6JG,Preliminary Round,verified
Runcorn Town FC,WA7 4ET,Extra Preliminary Round,verified
Rushall Olympic FC,WS4 1LJ,First Round Qualifying,supporting-evidence
Rusthall FC,TN4 8SH,Extra Preliminary Round,verified
Saffron Walden Town FC,CB10 2DU,Extra Preliminary Round,verified
Salisbury FC,SP4 6PU,Second Round Qualifying,supporting-evidence
Saltash United AFC,PL12 6DX,Extra Preliminary Round,verified
Sawbridgeworth Town FC,CM21 0DF,Extra Preliminary Round,verified
Scarborough Athletic FC,YO11 2JW,Second Round Qualifying,supporting-evidence
Scunthorpe United FC,DN15 8TD,Fourth Round Qualifying,verified
SE Dons FC,ME4 6LR,Extra Preliminary Round,verified
Seaford Town FC,BN25 1AF,Extra Preliminary Round,verified
Sevenoaks Town FC,TN14 5BX,Extra Preliminary Round,verified
Shaftesbury FC,SP7 8PD,Preliminary Round,verified
Sheerwater FC,GU21 5RL,Extra Preliminary Round,verified
Sheffield FC,S18 1BE,Extra Preliminary Round,verified
Sheppey United FC,ME12 3DB,Extra Preliminary Round,verified
Shepshed Dynamo FC,LE12 9BN,Preliminary Round,verified
Shepton Mallet AFC,BA4 5XN,Extra Preliminary Round,verified
Sherborne Town FC,DT9 5NS,Extra Preliminary Round,verified
Sherwood Colliery FC,NG19 7NS,Extra Preliminary Round,verified
Shifnal Town FC,TF11 8PD,Extra Preliminary Round,verified
Shildon AFC,DL4 1HA,Extra Preliminary Round,verified
Sholing FC,SO19 9PW,First Round Qualifying,verified
Sidmouth Town FC,EX10 9TF,Extra Preliminary Round,verified
Silsden AFC,BD20 0EH,Extra Preliminary Round,verified
Sittingbourne FC,ME9 8AG,Preliminary Round,verified
Skegness Town AFC,PE25 2EL,Extra Preliminary Round,verified
Slimbridge AFC,GL2 7AF,Extra Preliminary Round,verified
Slough Town FC,SL2 5AY,Second Round Qualifying,supporting-evidence
Snodland Town FC,ME6 5DL,Extra Preliminary Round,verified
Soham Town Rangers FC,CB7 5EQ,Extra Preliminary Round,verified
Solihull Moors FC,B91 2PP,Fourth Round Qualifying,supporting-evidence
Soul Tower Hamlets FC,E14 7TW,Extra Preliminary Round,verified
South Liverpool FC,L17 5AL,Extra Preliminary Round,verified
South Park (Reigate) FC,RH2 8LG,Extra Preliminary Round,verified
South Shields FC,NE32 3UP,Second Round Qualifying,supporting-evidence
Southall FC,UB7 8HX,Preliminary Round,verified
Southend United FC,SS2 6NQ,Fourth Round Qualifying,supporting-evidence
Southport FC,PR8 6JZ,Second Round Qualifying,supporting-evidence
Spalding United FC,PE11 1DA,Second Round Qualifying,supporting-evidence
Spennymoor Town FC,DL16 6JN,Second Round Qualifying,supporting-evidence
Sporting Bengal United FC,E14 7TW,Extra Preliminary Round,verified
Sporting Club Inkberrow FC,WR7 4HJ,Extra Preliminary Round,verified
Sporting Khalsa FC,WV13 3BB,Extra Preliminary Round,verified
St Albans City FC,AL1 4PL,First Round Qualifying,supporting-evidence
St Blazey FC,PL24 2ND,Extra Preliminary Round,verified
St Ives Town FC,PE27 6DT,Preliminary Round,verified
St Neots Town FC,PE19 6SL,Extra Preliminary Round,verified
Stafford Rangers FC,ST16 3BX,Extra Preliminary Round,verified
Stalybridge Celtic FC,SK15 2RT,Preliminary Round,verified
Stamford AFC,PE9 1US,First Round Qualifying,supporting-evidence
Stanway Rovers FC,CO3 0PG,First Round Qualifying,supporting-evidence
Steyning Town FC,BN44 3RQ,Extra Preliminary Round,verified
Stockport Georgians FC,SK2 7DT,Extra Preliminary Round,verified
Stocksbridge Park Steels FC,S36 2AN,Preliminary Round,verified
Stockton Town FC,TS19 0QD,First Round Qualifying,supporting-evidence
Stone Old Alleynians FC,ST5 3BX,Extra Preliminary Round,verified
Stotfold FC,SG5 4HE,Extra Preliminary Round,verified
Stourbridge FC,DY8 4HN,First Round Qualifying,supporting-evidence
Stourport Swifts FC,DY13 0AA,Extra Preliminary Round,verified
Stowmarket Town FC,IP14 1JQ,Extra Preliminary Round,verified
Stratford Town FC,CV37 7BZ,First Round Qualifying,supporting-evidence
Street FC,BA16 0TA,Extra Preliminary Round,verified
Sturminster Newton United FC,DT10 1EW,Extra Preliminary Round,verified
Sutton Athletic FC,BR8 7RZ,Extra Preliminary Round,verified
Sutton Coldfield Town FC,B72 1NL,Extra Preliminary Round,verified
Sutton Common Rovers FC,SM5 2PW,Extra Preliminary Round,verified
Sutton United FC,SM1 2EY,Fourth Round Qualifying,verified
Sutton United FC (Birmingham),B75 7BA,Extra Preliminary Round,verified
Swindon Supermarine FC,SN3 4BZ,Extra Preliminary Round,verified
Tadcaster Albion FC,LS24 9AY,Extra Preliminary Round,verified
Tadley Calleva FC,RG26 3PX,Extra Preliminary Round,verified
Takeley FC,CM22 6SQ,Extra Preliminary Round,verified
Tamworth FC,B77 1AA,Fourth Round Qualifying,supporting-evidence
Taunton Town FC,TA1 2HG,First Round Qualifying,supporting-evidence
Tavistock AFC,PL19 8JR,Extra Preliminary Round,verified
Thackley AFC,BD10 0TL,Extra Preliminary Round,verified
Thame United FC,OX9 3RN,Preliminary Round,verified
Thatcham Town FC,RG19 4PA,Extra Preliminary Round,verified
Thetford Town FC,IP24 3AA,Extra Preliminary Round,verified
Thornaby FC,TS17 7JU,Extra Preliminary Round,verified
Thornbury Town FC,BS35 1NA,Extra Preliminary Round,verified
Three Bridges FC,RH10 1LQ,First Round Qualifying,supporting-evidence
Tilbury FC,RM18 8NL,Extra Preliminary Round,verified
Tiverton Town FC,EX16 6SG,Preliminary Round,verified
Tividale FC,B69 1UL,Extra Preliminary Round,verified
Tonbridge Angels FC,TN10 3JF,Second Round Qualifying,supporting-evidence
Tooting & Mitcham United FC,SM4 6BF,Extra Preliminary Round,verified
Torpoint Athletic FC,PL11 2RE,Extra Preliminary Round,verified
Torquay United FC,TQ1 3PS,Second Round Qualifying,supporting-evidence
Trafford FC,M41 5DL,Extra Preliminary Round,verified
Tring Athletic FC,HP23 5NS,Extra Preliminary Round,verified
Truro City FC,TR4 9AN,Second Round Qualifying,supporting-evidence
Tuffley Rovers FC,GL2 5DT,Extra Preliminary Round,verified
Tunbridge Wells FC,TN4 9SG,Extra Preliminary Round,verified
Uttoxeter Town FC,ST14 7JX,Extra Preliminary Round,verified
Uxbridge FC,UB7 8HX,First Round Qualifying,verified
Vauxhall Motors FC,CH66 1NJ,Preliminary Round,verified
Virginia Water FC,SL2 5AY,Extra Preliminary Round,verified
Wallingford & Crowmarsh FC,OX10 9RB,Extra Preliminary Round,verified
Walsham Le Willows FC,IP31 3AH,Extra Preliminary Round,verified
Waltham Abbey FC,EN9 1NX,Preliminary Round,verified
Walthamstow FC,E17 4JP,Extra Preliminary Round,verified
Walton & Hersham FC,KT12 2JP,Second Round Qualifying,supporting-evidence
Ware FC,SG12 0UQ,Preliminary Round,verified
Warrington Rylands FC,WA2 7RZ,First Round Qualifying,supporting-evidence
Warrington Town FC,WA4 2RS,First Round Qualifying,supporting-evidence
Wealdstone FC,HA4 6JQ,Fourth Round Qualifying,verified
Welling United FC,DA16 1SY,First Round Qualifying,supporting-evidence
Wellingborough Town FC,NN8 2DP,Extra Preliminary Round,verified
Wellington AFC,HR4 8AZ,Extra Preliminary Round,verified
Wells City FC,BA5 1TU,Extra Preliminary Round,verified
Welwyn Garden City FC,AL7 1TA,Extra Preliminary Round,verified
West Auckland Town FC,DL14 9HU,Extra Preliminary Round,verified
West Didsbury & Chorlton AFC,M21 8FE,Extra Preliminary Round,verified
West Essex FC,E17 4JP,Extra Preliminary Round,verified
Westbury United FC,BA13 3AF,Extra Preliminary Round,verified
Westfield FC,GU22 9BA,Preliminary Round,verified
Westfields FC,HR4 9NA,Extra Preliminary Round,verified
Weston Super Mare FC,BS24 9AA,Second Round Qualifying,supporting-evidence
Weymouth FC,DT4 9XJ,Preliminary Round,verified
Whickham FC,NE16 4NA,Extra Preliminary Round,verified
Whitby Town FC,YO21 3HZ,First Round Qualifying,supporting-evidence
Whitchurch Alport FC,SY13 1PG,Extra Preliminary Round,verified
White Ensign FC,SS2 6UD,Extra Preliminary Round,verified
Whitehawk FC,BN2 5TS,First Round Qualifying,supporting-evidence
Whitley Bay FC,NE25 8HR,Extra Preliminary Round,verified
Whitstable Town FC,CT5 1QP,Extra Preliminary Round,verified
Wick FC,BN17 7LS,Extra Preliminary Round,verified
Willand Rovers FC,EX15 2RG,Extra Preliminary Round,verified
Wimborne Town FC,BH21 2FU,First Round Qualifying,supporting-evidence
Winchester City FC,SO23 7SR,Preliminary Round,verified
Windsor & Eton FC,SL4 3DR,Extra Preliminary Round,verified
Wingate & Finchley FC,N12 0PD,First Round Qualifying,supporting-evidence
Winsford United FC,CW7 3AE,Extra Preliminary Round,verified
Winslow United FC,MK18 3JG,Extra Preliminary Round,verified
Wisbech Town FC,PE14 7AL,Extra Preliminary Round,verified
Witham Town FC,CM8 1UN,Extra Preliminary Round,verified
Witton Albion FC,CW9 6DA,Extra Preliminary Round,verified
Woking FC,GU22 9AA,Fourth Round Qualifying,verified
Wokingham Town FC,RG41 1JB,Extra Preliminary Round,verified
Woodbridge Town FC,IP12 4LS,Extra Preliminary Round,verified
Woodford Town FC,IG8 8AA,Extra Preliminary Round,verified
Worcester City FC,WR3 8ZE,First Round Qualifying,supporting-evidence
Worcester Raiders FC,WR3 7SS,Extra Preliminary Round,verified
Workington AFC,CA14 2DT,First Round Qualifying,supporting-evidence
Worksop Town FC,S80 1UJ,Second Round Qualifying,supporting-evidence
Wormley Rovers FC,EN10 7QE,Extra Preliminary Round,verified
Worsbrough Bridge Athletic FC,S70 5LJ,Extra Preliminary Round,verified
Worthing FC,BN14 7HQ,Fourth Round Qualifying,verified
Wroxham FC,NR12 8SJ,Extra Preliminary Round,verified
Wythenshawe FC,M22 4US,Extra Preliminary Round,verified
Wythenshawe Town FC,M23 9LL,Extra Preliminary Round,verified
Yarm & Eaglescliffe FC,TS23 4AE,Extra Preliminary Round,verified
Yate Town FC,BS37 7LE,First Round Qualifying,supporting-evidence
Yateley United FC,GU46 7SZ,Extra Preliminary Round,verified
Yaxley FC,PE7 3NA,Extra Preliminary Round,verified
Yeovil Town FC,BA22 8YF,Fourth Round Qualifying,supporting-evidence
